workload,protocol,threads,hotset_prob,txn_type,latency_us
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.041
1,occ,4,0.700,transfer,410.375
1,occ,4,0.700,transfer,19.500
1,occ,4,0.700,transfer,19.792
1,occ,4,0.700,transfer,20.042
1,occ,4,0.700,transfer,19.875
1,occ,4,0.700,transfer,8.708
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,6.916
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,9.084
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,6.708
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,6.833
1,occ,4,0.700,transfer,8.458
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.042
1,occ,4,0.700,transfer,10.459
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.041
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,385.459
1,occ,4,0.700,transfer,8.166
1,occ,4,0.700,transfer,8.542
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.917
1,occ,4,0.700,transfer,8.375
1,occ,4,0.700,transfer,11.500
1,occ,4,0.700,transfer,7.958
1,occ,4,0.700,transfer,9.334
1,occ,4,0.700,transfer,10.708
1,occ,4,0.700,transfer,13.375
1,occ,4,0.700,transfer,12.542
1,occ,4,0.700,transfer,9.583
1,occ,4,0.700,transfer,8.291
1,occ,4,0.700,transfer,8.375
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,8.209
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,10.333
1,occ,4,0.700,transfer,9.041
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,8.166
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,2529.917
1,occ,4,0.700,transfer,10.333
1,occ,4,0.700,transfer,39.916
1,occ,4,0.700,transfer,11.541
1,occ,4,0.700,transfer,42.542
1,occ,4,0.700,transfer,13.750
1,occ,4,0.700,transfer,10.708
1,occ,4,0.700,transfer,10.792
1,occ,4,0.700,transfer,11.583
1,occ,4,0.700,transfer,11.167
1,occ,4,0.700,transfer,9.084
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,11.959
1,occ,4,0.700,transfer,12.125
1,occ,4,0.700,transfer,8.792
1,occ,4,0.700,transfer,9.500
1,occ,4,0.700,transfer,8.791
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,9.916
1,occ,4,0.700,transfer,9.708
1,occ,4,0.700,transfer,9.667
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,11.167
1,occ,4,0.700,transfer,9.959
1,occ,4,0.700,transfer,8.541
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,8.541
1,occ,4,0.700,transfer,8.334
1,occ,4,0.700,transfer,10.625
1,occ,4,0.700,transfer,10.708
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,9.333
1,occ,4,0.700,transfer,10.417
1,occ,4,0.700,transfer,12.500
1,occ,4,0.700,transfer,9.292
1,occ,4,0.700,transfer,10.708
1,occ,4,0.700,transfer,10.875
1,occ,4,0.700,transfer,9.791
1,occ,4,0.700,transfer,11.750
1,occ,4,0.700,transfer,9.083
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,10.292
1,occ,4,0.700,transfer,10.458
1,occ,4,0.700,transfer,9.292
1,occ,4,0.700,transfer,9.625
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,11.625
1,occ,4,0.700,transfer,11.000
1,occ,4,0.700,transfer,11.292
1,occ,4,0.700,transfer,9.916
1,occ,4,0.700,transfer,8.542
1,occ,4,0.700,transfer,9.000
1,occ,4,0.700,transfer,10.750
1,occ,4,0.700,transfer,9.875
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,9.750
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,10.167
1,occ,4,0.700,transfer,10.166
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,9.167
1,occ,4,0.700,transfer,8.916
1,occ,4,0.700,transfer,8.333
1,occ,4,0.700,transfer,10.542
1,occ,4,0.700,transfer,10.333
1,occ,4,0.700,transfer,10.167
1,occ,4,0.700,transfer,11.125
1,occ,4,0.700,transfer,10.334
1,occ,4,0.700,transfer,10.541
1,occ,4,0.700,transfer,9.375
1,occ,4,0.700,transfer,11.500
1,occ,4,0.700,transfer,13.000
1,occ,4,0.700,transfer,11.208
1,occ,4,0.700,transfer,10.084
1,occ,4,0.700,transfer,10.666
1,occ,4,0.700,transfer,9.333
1,occ,4,0.700,transfer,11.542
1,occ,4,0.700,transfer,15.417
1,occ,4,0.700,transfer,11.583
1,occ,4,0.700,transfer,9.042
1,occ,4,0.700,transfer,11.500
1,occ,4,0.700,transfer,11.917
1,occ,4,0.700,transfer,51.292
1,occ,4,0.700,transfer,14.333
1,occ,4,0.700,transfer,13.917
1,occ,4,0.700,transfer,14.000
1,occ,4,0.700,transfer,15.541
1,occ,4,0.700,transfer,15.875
1,occ,4,0.700,transfer,12.167
1,occ,4,0.700,transfer,9.958
1,occ,4,0.700,transfer,10.500
1,occ,4,0.700,transfer,11.458
1,occ,4,0.700,transfer,9.458
1,occ,4,0.700,transfer,9.125
1,occ,4,0.700,transfer,10.833
1,occ,4,0.700,transfer,8.959
1,occ,4,0.700,transfer,10.458
1,occ,4,0.700,transfer,8.458
1,occ,4,0.700,transfer,10.042
1,occ,4,0.700,transfer,10.416
1,occ,4,0.700,transfer,9.125
1,occ,4,0.700,transfer,9.333
1,occ,4,0.700,transfer,11.917
1,occ,4,0.700,transfer,10.792
1,occ,4,0.700,transfer,9.542
1,occ,4,0.700,transfer,8.916
1,occ,4,0.700,transfer,18.292
1,occ,4,0.700,transfer,10.500
1,occ,4,0.700,transfer,11.083
1,occ,4,0.700,transfer,9.667
1,occ,4,0.700,transfer,9.250
1,occ,4,0.700,transfer,8.708
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,8.709
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,8.917
1,occ,4,0.700,transfer,12.750
1,occ,4,0.700,transfer,9.917
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,9.458
1,occ,4,0.700,transfer,8.667
1,occ,4,0.700,transfer,10.041
1,occ,4,0.700,transfer,8.583
1,occ,4,0.700,transfer,10.792
1,occ,4,0.700,transfer,11.625
1,occ,4,0.700,transfer,10.959
1,occ,4,0.700,transfer,11.709
1,occ,4,0.700,transfer,9.167
1,occ,4,0.700,transfer,10.333
1,occ,4,0.700,transfer,23.458
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,8.042
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,8.625
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,1682.416
1,occ,4,0.700,transfer,9.250
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,8.958
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,8.084
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,7.666
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,8.417
1,occ,4,0.700,transfer,8.583
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,11.208
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,8.291
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,8.042
1,occ,4,0.700,transfer,7.709
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.334
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,8.292
1,occ,4,0.700,transfer,11.333
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,7.791
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,8.292
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,8.209
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,8.375
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,7.792
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,2531.041
1,occ,4,0.700,transfer,18.042
1,occ,4,0.700,transfer,12.208
1,occ,4,0.700,transfer,9.709
1,occ,4,0.700,transfer,11.500
1,occ,4,0.700,transfer,10.667
1,occ,4,0.700,transfer,8.916
1,occ,4,0.700,transfer,8.667
1,occ,4,0.700,transfer,9.666
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,8.250
1,occ,4,0.700,transfer,7.709
1,occ,4,0.700,transfer,7.959
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.917
1,occ,4,0.700,transfer,9.583
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,8.708
1,occ,4,0.700,transfer,10.125
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,9.083
1,occ,4,0.700,transfer,8.291
1,occ,4,0.700,transfer,8.584
1,occ,4,0.700,transfer,9.792
1,occ,4,0.700,transfer,9.291
1,occ,4,0.700,transfer,8.458
1,occ,4,0.700,transfer,7.166
1,occ,4,0.700,transfer,8.042
1,occ,4,0.700,transfer,10.500
1,occ,4,0.700,transfer,14.291
1,occ,4,0.700,transfer,8.375
1,occ,4,0.700,transfer,8.167
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.917
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,8.125
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,9.208
1,occ,4,0.700,transfer,9.667
1,occ,4,0.700,transfer,7.958
1,occ,4,0.700,transfer,10.167
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,6.750
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,8.166
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,8.667
1,occ,4,0.700,transfer,5344.375
1,occ,4,0.700,transfer,20.708
1,occ,4,0.700,transfer,17.125
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.209
1,occ,4,0.700,transfer,12.667
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,6.834
1,occ,4,0.700,transfer,8.500
1,occ,4,0.700,transfer,8.666
1,occ,4,0.700,transfer,7.625
1,occ,4,0.700,transfer,6.916
1,occ,4,0.700,transfer,8.000
1,occ,4,0.700,transfer,7.583
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,12.208
1,occ,4,0.700,transfer,7.916
1,occ,4,0.700,transfer,8.208
1,occ,4,0.700,transfer,12.250
1,occ,4,0.700,transfer,8.041
1,occ,4,0.700,transfer,7.584
1,occ,4,0.700,transfer,7.667
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.709
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.417
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.875
1,occ,4,0.700,transfer,8.250
1,occ,4,0.700,transfer,7.458
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.584
1,occ,4,0.700,transfer,7.375
1,occ,4,0.700,transfer,7.708
1,occ,4,0.700,transfer,7.125
1,occ,4,0.700,transfer,8.334
1,occ,4,0.700,transfer,7.000
1,occ,4,0.700,transfer,8.083
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.750
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,8.458
1,occ,4,0.700,transfer,7.041
1,occ,4,0.700,transfer,6.875
1,occ,4,0.700,transfer,7.334
1,occ,4,0.700,transfer,7.541
1,occ,4,0.700,transfer,7.250
1,occ,4,0.700,transfer,7.500
1,occ,4,0.700,transfer,10.083
1,occ,4,0.700,transfer,8.875
1,occ,4,0.700,transfer,7.333
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.167
1,occ,4,0.700,transfer,7.083
1,occ,4,0.700,transfer,7.292
1,occ,4,0.700,transfer,7.542
1,occ,4,0.700,transfer,6.917
1,occ,4,0.700,transfer,7.208
1,occ,4,0.700,transfer,8.459
1,occ,4,0.700,transfer,7.500
