workload,protocol,threads,hotset_prob,elapsed_s,total_commits,total_aborts,throughput_tps,abort_rate_pct,txn_type,type_commits,type_aborts,type_abort_pct,type_avg_latency_us,type_p50_us,type_p90_us,type_p99_us
2,occ,16,0.300000,0.080268,3200,293,39866.385318,8.388205,payment,1609,69,4.112038,82.591037,12.000000,22.591400,1030.716640
2,occ,16,0.300000,0.080268,3200,293,39866.385318,8.388205,new_order,1591,224,12.341598,355.515640,16.375000,104.208000,5399.324400
2,occ,16,0.500000,0.152183,3200,183,21027.350340,5.409400,new_order,1538,124,7.460890,398.727664,15.375000,26.137600,3072.958960
2,occ,16,0.500000,0.152183,3200,183,21027.350340,5.409400,payment,1662,59,3.428239,73.401622,11.708000,17.666000,551.152370
2,occ,16,0.700000,0.096382,3200,135,33201.234613,4.047976,new_order,1607,98,5.747801,300.585562,15.583000,24.334000,1315.047500
2,occ,16,0.700000,0.096382,3200,135,33201.234613,4.047976,payment,1593,37,2.269939,123.319288,11.792000,18.083000,40.333360
2,occ,16,0.900000,0.161114,3200,102,19861.656364,3.089037,new_order,1581,55,3.361858,291.231999,15.792000,26.333000,47.316400
2,occ,16,0.900000,0.161114,3200,102,19861.656364,3.089037,payment,1619,47,2.821128,164.438888,11.583000,18.966400,34.975060
2,2pl,1,0.100000,0.003115,200,0,64200.304951,0.000000,new_order,94,0,0.000000,17.104660,14.854500,23.096300,36.788000
2,2pl,1,0.100000,0.003115,200,0,64200.304951,0.000000,payment,106,0,0.000000,13.334132,11.208500,19.500500,28.122900
2,2pl,1,0.300000,0.003008,200,0,66499.486956,0.000000,new_order,103,0,0.000000,15.813515,13.875000,23.191600,30.449680
2,2pl,1,0.300000,0.003008,200,0,66499.486956,0.000000,payment,97,0,0.000000,13.161876,10.750000,20.916200,30.781640
2,2pl,1,0.500000,0.003152,200,0,63450.105851,0.000000,new_order,106,0,0.000000,16.851377,14.854500,21.979000,40.710100
2,2pl,1,0.500000,0.003152,200,0,63450.105851,0.000000,payment,94,0,0.000000,13.508851,10.979000,18.853700,38.095990
